HstNummer;Name ohne Ort;Ort;Globale ID;WGS84 X;;WGS84 Y
5409;Panoramastraße;Herrsching(a.Ammers);de:09188:5409;47,9898208605416;;11,1708736220409
5410;Herrsching;Herrsching(a.Ammers);de:09188:5410;47,9982745249532;;11,1708186749575
5411;Strittholzstraße;Herrsching(a.Ammers);de:09188:5411;47,9828983466528;;11,1687472810352
5412;Martinsweg;Herrsching(a.Ammers);de:09188:5412;47,9949345213755;;11,1741013315067
5413;Goethestraße;Herrsching(a.Ammers);de:09188:5413;48,0017166939909;;11,1817790422124
5414;Dampfersteg;Herrsching(a.Ammers);de:09188:5414;47,9953929171539;;11,1703154459005
5415;Mitterweg;Herrsching(a.Ammers);de:09188:5415;47,9998347941854;;11,1751756055935
5416;Hechendorfer Straße;Herrsching(a.Ammers);de:09188:5416;48,0044376322693;;11,1649439041379
5417;Krankenhaus;Tutzing;de:09188:5417;47,9076970330949;;11,2785821459208
5418;Lochschwab;Herrsching(a.Ammers);de:09188:5418;48,0037994515709;;11,153924857421
5420;Stockdorf;Stockdorf;de:09188:5420;48,0936521171101;;11,4012390691519
5421;Weylerstraße;Garatshausen;de:09188:5421;47,9239533769513;;11,2908806600914
5422;Schloß Ried;Ried am Ammersee;de:09188:5422;48,0068498628545;;11,1432068676251
5423;Am Anger;Etterschlag;de:09188:5423;48,085279886675;;11,1976095037967
5424;Neue Siedlung;Breitbrunn(Ammersee);de:09188:5424;48,0266920913239;;11,1410951013961
5425;Gymnasium;Tutzing;de:09188:5425;47,9077845141572;;11,2796243010972
5426;Obstgarten;Breitbrunn(Ammersee);de:09188:5426;48,0349459149417;;11,1359831134948
5427;Fischergassl;Tutzing;de:09188:5427;47,9113447940004;;11,280859167552
5428;Bucher Weg;Breitbrunn(Ammersee);de:09188:5428;48,0388026594815;;11,136978097512
5429;Mühlfeldstraße;Tutzing;de:09188:5429;47,9152553134112;;11,2848988367322
5430;Gauting;Gauting;de:09188:5430;48,070028347693;;11,3762592578576
5431;Gauting *101 (nur Ausstieg);Gauting;de:09188:5431;48,0704544337596;;11,3768847889436
5432;Abzw. Seeleiten;Buch am Ammersee;de:09188:5432;48,0484006224886;;11,1420220902431
5434;Gemeindehaus;Buch am Ammersee;de:09188:5434;48,0541501311014;;11,1387608309867
5436;Waldstraße;Inning am Ammersee;de:09188:5436;48,0620338352457;;11,1430837001502
5437;Aschering;Aschering;de:09188:5437;47,9658289426495;;11,2568293430584
5438;Obermühle;Inning am Ammersee;de:09188:5438;48,0715041638896;;11,1467241528555
5441;Landsberger Straße;Inning am Ammersee;de:09188:5441;48,0774476053379;;11,1453375774037
5442;Marktplatz;Inning am Ammersee;de:09188:5442;48,0770585283688;;11,1523092082447
5443;Stegen;Stegen (Ammersee);de:09188:5443;48,0770236757355;;11,1331588693118
5444;Schorn;Schorn (Starnberg);de:09188:5444;48,0115684174937;;11,4260066462514
5446;Fercha;Fercha;de:09188:5446;48,0032562860214;;11,4148953951032
5447;Argelsrieder Straße;Oberpfaffenhofen;de:09188:5447;48,0805462550708;;11,2658095097928
5448;Ort;Wangen b Starnberg;de:09188:5448;48,0116539876876;;11,4022013589116
5449;Olympiastraße;Wangen b Starnberg;de:09188:5449;48,0112656983867;;11,4053690080354
5450;Starnberg;Starnberg;de:09188:5450;47,9965537264081;;11,3444498434723
5451;Emslanderstraße;Starnberg;de:09188:5451;47,9917919945103;;11,3312458625248
5452;Buchhof;Buchhof (Starnberg);de:09188:5452;48,0026435081882;;11,3803277029534
5453;Lohfeldstraße;Krailling;de:09188:5453;48,0943068834128;;11,4113537853238
5454;Gym. Kempfenhausen;Berg (Starnbgr.See);de:09188:5454;47,9935039328036;;11,361866497751
5456;RUAG;Gilching;de:09188:5456;48,0920475758006;;11,2870307883647
5457;Friedrichshafener Straße;Gilching;de:09188:5457;48,0917274571868;;11,291988730857
5458;Abzw.Leoni;Berg (Starnbgr.See);de:09188:5458;47,9617497636953;;11,3526563583922
5460;Possenhofen;Possenhofen;de:09188:5460;47,9627380916719;;11,3062318354121
5461;Gymnasium;Icking;de:09173:5461;47,9559436561682;;11,4334506965056
5462;Kreuzweg;Berg (Starnbgr.See);de:09188:5462;47,9555360869471;;11,3496410824492
5463;Waldsanatorium;Krailling;de:09188:5463;48,1013663238591;;11,3888507644406
5464;Assenhausen;Assenhausen (Kr STA);de:09188:5464;47,947035512349;;11,3493728070831
5465;KIM, Konrad-Zuse-Bogen;Krailling;de:09188:5465;48,093345066283;;11,3608883699286
5466;Sibichhausen;Sibichhausen;de:09188:5466;47,9433980628244;;11,3486688125699
5468;Allmannshausen;Allmannshausen;de:09188:5468;47,9378342637135;;11,3476678908181
5469;KIM, Pionierstraße;Krailling;de:09188:5469;48,0955203207235;;11,3639223704512
5470;Feldafing;Feldafing;de:09188:5470;47,9469717069927;;11,2899637207925
5472;Muggenthalerstraße;Krailling;de:09188:5472;48,0923554723817;;11,4131480425869
5473;Heimstraße;Krailling;de:09188:5473;48,0960620081932;;11,4133878385885
5475;Rathaus;Krailling;de:09188:5475;48,0989446754896;;11,4055545608251
5476;Margaretenstraße;Krailling;de:09188:5476;48,0991248805517;;11,4179313199403
5477;Sperberweg;Krailling;de:09188:5477;48,1005133049662;;11,4010789197874
5478;Mitterweg;Krailling;de:09188:5478;48,0967776770666;;11,4108825711341
5479;Erlenweg;Krailling;de:09188:5479;48,0989109599879;;11,4042526257699
5480;Tutzing;Tutzing;de:09188:5480;47,9073965792824;;11,2737172944073
5481;Münchener Straße;Planegg;de:09184:5481;48,101665132245;;11,4259050020187
5482;Bibliothek;Krailling;de:09188:5482;48,0974778929399;;11,4123916771563
5484;Claude-Dornier-Str.;Oberpfaffenhofen;de:09188:5484;48,0901208901909;;11,2823590823568
5485;Landsberger Straße;Neugilching;de:09188:5485;48,0946049934809;;11,2846595257661
5486;DLR;Oberpfaffenhofen;de:09188:5486;48,0853156328808;;11,2761844068078
5489;Osterholzweg;Walchstadt(Wörthsee);de:09188:5489;48,0711477458711;;11,1767882988193
5490;Starnberg Nord;Starnberg;de:09188:5490;48,0053874272176;;11,3479564875699
5491;Argelsrieder Feld;Oberpfaffenhofen;de:09188:5491;48,0817262965058;;11,2746107096445
5492;Karolingerstraße;Gilching;de:09188:5492;48,1066464934367;;11,2932611099158
5494;Ort;Schlagenhofen;de:09188:5494;48,0426301263309;;11,1607597845221
5495;Am Wörthsee;Schlagenhofen;de:09188:5495;48,0516768545142;;11,1581850000067
5496;Bachern;Bachern am Wörthsee;de:09188:5496;48,0627549139176;;11,1640688539747
5497;Wallerstraße;Bachern am Wörthsee;de:09188:5497;48,0583536722915;;11,1611349755878
5498;Walchstadt;Walchstadt(Wörthsee);de:09188:5498;48,0735904546989;;11,1838616958566
5499;Schlagenhofen-Weich;Inning am Ammersee;de:09188:5499;48,0430560296866;;11,1698727349934
5500;Lerchenstraße;Waldbrunn (Wörthsee);de:09188:5500;48,0816593001646;;11,2007393135973
5501;Seestraße;Steinebach(Wörthsee);de:09188:5501;48,0672268047405;;11,2023446720092
5502;Maistraße;Steinebach(Wörthsee);de:09188:5502;48,0738295087906;;11,2025513530967
5503;Delling;Delling;de:09188:5503;48,0594616946168;;11,2362455476314
5504;Dellinger Weg;Meiling (Kr STA);de:09188:5504;48,0550154472694;;11,2236478261381
5505;St.-Martin-Kirche;Steinebach(Wörthsee);de:09188:5505;48,0634813209009;;11,2017450728275
5506;Birkenstraße;Pöcking;de:09188:5506;47,9643456604279;;11,2969704483623
5507;Techno-Park;Oberpfaffenhofen;de:09188:5507;48,0804996897951;;11,2697962864626
5510;Machtlfing, IWL;Machtlfing;de:09188:5510;47,9437035044861;;11,2347652131014
5511;Drößling;Drößling;de:09188:5511;48,0223932885108;;11,2273012812179
5512;Frieding;Frieding (Andechs);de:09188:5512;48,0105233217034;;11,2182303411436
5513;Saganger;Oberalting;de:09188:5513;48,043024203398;;11,2139704127216
5514;Mühlbachstraße;Oberalting;de:09188:5514;48,0399399448438;;11,2166860339852
5515;Espe-Platz/3M;Oberalting;de:09188:5515;48,0383767578048;;11,2302541456791
5516;Marienplatz;Oberalting;de:09188:5516;48,036212675709;;11,2187539552926
5517;Lindenallee;Hechendorf a.Pilsens;de:09188:5517;48,0435871829029;;11,2042920273778
5518;Krankenhaus;Seefeld (Oberbay);de:09188:5518;48,0349214427146;;11,2140399295344
5520;Hubertusstraße;Seefeld (Oberbay);de:09188:5520;48,0333564556342;;11,2087805530346
5523;Dorfstraße;Meiling (Kr STA);de:09188:5523;48,0516185335828;;11,2253755689427
5525;Am Laichholz;Perchting;de:09188:5525;48,0032371472436;;11,2756975401205
5526;Hadorf;Hadorf;de:09188:5526;48,0145367485952;;11,2834478694952
5528;Stadtmarkt;Starnberg;de:09188:5528;48,0005221278629;;11,3432605738061
5529;Kirchplatz;Starnberg;de:09188:5529;47,9982947467994;;11,3406490360221
5530;Agentur für Arbeit;Starnberg;de:09188:5530;48,0029326640882;;11,3401611520538
5531;Klinikum Starnberg;Starnberg;de:09188:5531;48,0072879401748;;11,334329289872
5532;Klinikum-MediCenter;Starnberg;de:09188:5532;48,0087972826134;;11,3356099390581
5533;Mühltal;Starnberg;de:09188:5533;48,0331627209925;;11,3597013368062
5534;Egerer Straße;Starnberg;de:09188:5534;48,0116498150943;;11,3327720287492
5536;St.-Michael-Straße;Hanfeld;de:09188:5536;48,0225367557323;;11,3212766301599
5538;Tutzinger-Hof-Platz;Starnberg;de:09188:5538;48,0001666533615;;11,3424342574461
5540;Jahnstraße;Starnberg;de:09188:5540;47,9909342315809;;11,3306674230735
5541;Waldspielplatz;Starnberg;de:09188:5541;47,9884665480445;;11,3224063358183
5543;Ernst-Heimeran-Weg;Starnberg;de:09188:5543;47,9865205812028;;11,3248968061333
5545;Paradies;Pöcking;de:09188:5545;47,965996708748;;11,3217893946685
5546;Brunnangerhalle;Starnberg;de:09188:5546;48,0039715269206;;11,3425333591724
5547;Hofbuchetstraße;Starnberg;de:09188:5547;48,0129444827278;;11,3373662144981
5548;Riedener Weg;Starnberg;de:09188:5548;48,0073908068466;;11,3444064660204
5549;Wittelsbacherstraße;Starnberg;de:09188:5549;47,9990905591463;;11,3429839239212
5550;Rosenstraße;Starnberg;de:09188:5550;48,0112719479316;;11,3436871564233
5551;Bacherner Weg;Inning am Ammersee;de:09188:5551;48,0715541769548;;11,1571632885959
5554;Schießstättstraße;Starnberg;de:09188:5554;48,0125645120742;;11,3416736335779
5555;GWP Inning/Wörthsee;Inning am Ammersee;de:09188:5555;48,0900527317134;;11,152109245866
5556;Cappius;Söcking (Kr STA);de:09188:5556;48,0122637381101;;11,3285420060468
5558;Esterbergstraße;Söcking (Kr STA);de:09188:5558;48,0103563143575;;11,3253366145484
