stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code,stop_url
de:09178:3200,Niederhinzing,48.5931362393733,11.7481672873505,1,,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3200
de:09178:3200:0:1,Niederhinzing,48.5932431857695,11.7479876242936,,de:09178:3200,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3200
de:09178:3200:0:2,Niederhinzing,48.5932610101469,11.7481133884334,,de:09178:3200,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3200
de:09178:3204,Thann,48.469902742397,11.7874506147305,1,,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3204
de:09178:3204:0:1,Thann,48.469902742397,11.7876302777873,,de:09178:3204,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3204
de:09178:3204:0:2,Thann,48.469902742397,11.7872799348265,,de:09178:3204,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3204
de:09178:3206,"Inkofen, Amperbrücke",48.461206309557,11.864166740005,1,,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3206
de:09178:3206:0:1,"Inkofen, Amperbrücke",48.4612360944042,11.864166740005,,de:09178:3206,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3206
de:09178:3206:0:2,"Inkofen, Amperbrücke",48.4611884386404,11.8641577568521,,de:09178:3206,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3206
de:09178:3208,"Inkofen, Linde",48.4647327139902,11.8633402899435,1,,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3208
de:09178:3208:0:1,"Inkofen, Linde",48.464845888453,11.8632235089565,,de:09178:3208,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3208
de:09178:3208:0:2,"Inkofen, Linde",48.4646850615092,11.8634750372361,,de:09178:3208,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3208
de:09178:3210,Kirchamper,48.466454129862,11.8854568122416,1,,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3210
de:09178:3210:0:1,Kirchamper,48.4665017806819,11.8854568122416,,de:09178:3210,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3210
de:09178:3210:0:2,Kirchamper,48.4664183917177,11.8854388459359,,de:09178:3210,,https://efa.mvv-muenchen.de/index.html?name_origin=de:09178:3210
