id,opening_hours,source_url,last_update,valid_from,valid_until,service
0104.U1.412,lecture: Tu 13:00-13:30; lecture: Th 13:00-13:30; PH off,https://fsei.de/services/skriptenverkauf/,2026-06-12,,,
0501.05.170B,lecture: Mo-Fr 10:00-18:00; PH off,https://nachhoelzer.de/,2026-08-06,,,
