event_image,event_lat,event_lon,event_name,event_datetime_start_at,event_datetime_end_at,event_description,event_organising_org_id,event_image_author
/cdn/thumb/event_9d02ddd940c43f87_0.webp,48.262908,11.669102,GARNIX Open Air,2026-06-15T09:11:00.000Z,2026-06-19T21:23:00.000Z,"Open-air student festival on the Garching research campus with live music, food trucks, and faculty club stands.",30361,Studentische Vertretung TUM
/cdn/thumb/event_17ddb108241f623c_0.webp,48.147126152619904,11.567373278769224,TUNIX Open Air,2026-06-29T09:00:00.000Z,2026-07-03T21:00:00.000Z,Das TUNIX Open Air findet jährlich eine Woche im Juni/Juli auf dem Königsplatz hinter der Mensa statt. Neben Live Musik auf einer Biergartenbühne gibt es ein großes Angebot an Speisen und Getränken zu Studierendenfreundlichen Preisen.,45411,Studentische Vertretung der TUM
/cdn/thumb/event_5b59a27f8f857441_0.webp,48.26561123859361,11.670643549304003,IKOM 2026,2026-06-22T07:30:00.000Z,2026-06-25T14:30:00.000Z,"Karriereforum: 240 Unternehmen, kostenlose CV-Checks und Bewerbungsfotos, Getränke & Snacks an der StuLounge",45411,Studiendruck der Fachschaft Maschinenbau e.V. - Abteilung IKOM
/cdn/thumb/event_4a3e5d2fd5b338e4_0.webp,48.267911544616965,11.672068822496186,FSMSE x FSLRG Semester Closing Party,2026-06-24T18:00:00.000Z,2026-06-25T01:00:00.000Z,"Das Semester neigt sich dem Ende und das muss natürlich gebührend gefeiert werden - mit der Semester Closing Party eurer Fachschaften MSE und Aerospace, zusammen mit der C2!
--------------------------------
Motto:

Aloha Hawaii🌺🌺🌺

Also packt die Hawaiihemden und Sommerkleider aus, es wird richtig Bunt🌈

--------------------------------

🍺 Bier für nur 3€

🍸Spritz für 5,5€

🍹 Cocktails für 6€

🎤 Karaoke

🏓 Bierpong & RageCage

🎧 DJs

und natürlich jede Menge gute Vibes und unvergessliche Semesterabschluss-Stimmung 🥳

--------------------------------

Für die ersten 300 Gäste haben wir einige Spezials!

--> Blumenketten🌸🌼💐
--> Custom Becher die ihr behalten könnt!🥤
--> Das erste Bier, GEHT AUF UNS!🍻

Es lohnt sich also früh zu kommen...

--------------------------------

📍 Campus Cneipe Garching (C2)
(https://maps.app.goo.gl/o7KAEV8pFcRDyHPSA)

📅 24.06.2026

⏰ ab 18:00

🎟️ Eintritt: 5€ | Presale-Tickets gibt es über: 

https://tickets.fsmse.de

Wie immer brauchen wir eure Unterstützung als Helfer, also wenn du dir freien Eintritt und freie Verpflegung wärend deiner Schicht sichern willst, hilf doch gerne aus: 

https://helfen.fs.tum.de/SemesterClosingParty_SS26/l/f535e058-e2a6-41ee-a1b0-e9ce8339ef63/",48137,FSMSE
/cdn/thumb/event_e7eac1a1a5eb796c_0.webp,48.26683922260702,11.669989705751505,WOMEN WHO BUILD : An Eveng of Stories and Skills,2026-07-01T16:00:00.000Z,2026-07-01T18:00:00.000Z,"Women in CS x UnternehmerTum: An event from women for women, where you can hear about the stories of experienced female founders, enjoy a workshop to get insights and conclude with a networking session with our speakers",45411,UnternehmerTum 
/cdn/thumb/event_28597b0ffe46dc67_0.webp,48.1488820339475,11.567775297349812,A Piece of Cake: A Bake Sale for Mary’s Meals & Children’s Education,2026-07-08T13:00:00.000Z,2026-07-08T16:00:00.000Z,"The Mary’s Meals Student Club invites you to our charity bake sale supporting Mary’s Meals, which provides daily school meals to over 3 million children in some of the world’s poorest communities. Enjoy homemade cakes and crêpes, learn how school meals change futures, and help us support this impactful work. Let’s turn baked goods into better futures, one bite at a time.",45411,Mary's Meals Studentclub
