org_id,code,name,path
44384,TUBVCMS,Lehrstuhl für Computing in Civil and Building Engineering (Prof. Borrmann),TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Computing in Civil and Building Engineering (Prof. Borrmann)
44404,TUMAM15,Lehrstuhl für Angewandte Numerische Analysis (Prof. Fornasier),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Angewandte Numerische Analysis (Prof. Fornasier)"
44425,TUPEZIB,Zentrum für Internationale Bildungsvergleichsstudien (ZIB),TUM/Schools/Social Sciences and Technology/Zentrum für Internationale Bildungsvergleichsstudien (ZIB)
44444,TUWZK1A,Kleintier-Unit,TUM/Schools/Life Sciences/TUM Animal Research Center (ARC)/Kleintier-Unit/Kleintier-Unit
44486,TUPHFSV,Fachschaftsvertretung,TUM/Fakultäten/Ehemalige Fakultät für Physik/Fachschaftsvertretung
44491,TUBVFSV,Bau Geo Umwelt,TUM/Schools/Engineering and Design/Fachschaftsvertretung/Bau Geo Umwelt
44492,TUARFSV,Architektur,TUM/Schools/Engineering and Design/Fachschaftsvertretung/Architektur
44493,TUMWFSV,Maschinenwesen,TUM/Schools/Engineering and Design/Fachschaftsvertretung/Maschinenwesen
44494,TUEIFSV,Fachschaftsvertretung,TUM/Fakultäten/Ehemalige Fakultät für Elektrotechnik und Informationstechnik/Fachschaftsvertretung
44495,TUMEFSV,Fachschaftsvertretung MH-ME,TUM/Schools/Medicine and Health/Fachschaftsvertretung/Fachschaftsvertretung MH-ME
44496,TUSPFSV,Fachschaftsvertretung MH-SG,TUM/Schools/Medicine and Health/Fachschaftsvertretung/Fachschaftsvertretung MH-SG
44498,TUWZFAG,Agrar- und Gartenbauwissenschaften,TUM/Schools/Life Sciences/Fachschaftsvertretung/Agrar- und Gartenbauwissenschaften
44499,TUWZFBR,Brau- und Lebensmitteltechnologie,TUM/Schools/Life Sciences/Fachschaftsvertretung/Brau- und Lebensmitteltechnologie
44500,TUWZFBI,Biowissenschaften,TUM/Schools/Life Sciences/Fachschaftsvertretung/Biowissenschaften
44501,TUWZFEW,Ernährungswissenschaft,TUM/Schools/Life Sciences/Fachschaftsvertretung/Ernährungswissenschaft
44502,TUWZFLA,Landschaftsarchitektur und Landschaftsplanung,TUM/Schools/Life Sciences/Fachschaftsvertretung/Landschaftsarchitektur und Landschaftsplanung
44503,TUWZFFO,Forstwissenschaft und Ressourcenmanagement,TUM/Schools/Life Sciences/Fachschaftsvertretung/Forstwissenschaft und Ressourcenmanagement
44504,TUWIFSV,Fachschaftsvertretung,TUM/Fakultäten/Ehemalige Fakultät für Wirtschaftswissenschaften/Fachschaftsvertretung
44544,TUWIB21,Lehrstuhl für Forschungs- und Wissenschaftsmanagement (Prof. Peus),"TUM/Schools/Management/Departments/Marketing, Strategy and Leadership/Forschungs- und Wissenschaftsmanagement (Prof. Peus)"
44565,TUZEFWB,Forschungszentrum für Weiße Biotechnologie (i.Gr.),TUM/Weitere wissenschaftliche Einrichtungen/Forschungszentrum für Weiße Biotechnologie (i.Gr.)
44566,TULRRFA,Lehrstuhl für Raumfahrtmobilität und -antriebe (Prof. Manfletti),TUM/Schools/Engineering and Design/Departments/Aerospace and Geodesy/Raumfahrtmobilität und -antriebe (Prof. Manfletti)
44584,TUMWMHR,Professur für Mechanik auf Höchstleistungsrechnern (Prof. Gee),TUM/Schools/Engineering and Design/Departments/Engineering Physics and Computation/Mechanik auf Höchstleistungsrechnern (Prof. Gee)
44624,TUWZB6A,Professur für Biotechnologie Gartenbaulicher Kulturen (Prof. Poppenberger),TUM/Schools/Life Sciences/Departments/Molecular Life Sciences/Biotechnologie Gartenbaulicher Kulturen (Prof. Poppenberger)
44665,TUMEPF0,Zentrum für Präklinische Forschung (ZPF),TUM/Schools/Medicine and Health/Schoolzentrale Core Facilities/Zentrum für Präklinische Forschung (ZPF)
44684,TUMEGC0,Klinik und Poliklinik für Vaskuläre und Endovaskuläre Chirurgie (Prof. Branzan),TUM/Schools/Medicine and Health/Departments/Clinical Medicine/Klinik und Poliklinik für Vaskuläre und Endovaskuläre Chirurgie (Prof. Branzan)
44685,TUMEUC0,Klinik und Poliklinik für Unfallchirurgie (Prof. Biberthaler),TUM/Schools/Medicine and Health/Departments/Clinical Medicine/Klinik und Poliklinik für Unfallchirurgie (Prof. Biberthaler)
44704,TUWIB22,Lehrstuhl für Logistik und Supply Chain Management  (Prof. Minner),TUM/Schools/Management/Departments/Operations and Technology/Logistik und Supply Chain Management  (Prof. Minner)
44724,TUWIB23,Lehrstuhl für Unternehmensführung (Prof. Mohnen),TUM/Schools/Management/Departments/Finance and Accounting/Unternehmensführung (Prof. Mohnen)
44784,TUCSP02,Lehrstuhl für Biogene Polymere (Prof. Zollfrank),TUM/Integrative Research Institutes/TUM Campus Straubing für Biotechnologie und Nachhaltigkeit (TUMCS)/Lehrstühle und Professuren/Biogene Polymere (Prof. Zollfrank)
44804,TUMAF22,Professur für Risk and Insurance (Prof. Scherer),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Risk and Insurance (Prof. Scherer)"
44864,TUMWBME,Professur für Biopolymermaterialien (Prof. Lieleg),TUM/Schools/Engineering and Design/Departments/Materials Engineering/Biopolymermaterialien (Prof. Lieleg)
44884,TUMARBG,Rechnerbetriebsgruppe Mathematik und Informatik (RBG),TUM/Fakultäten/Ehemalige Fakultät für Mathematik/Zentrale Einrichtungen Zentrum Mathematik/Rechnerbetriebsgruppe Mathematik und Informatik (RBG)
44904,TUEDS22,Lehrstuhl für Methoden der Empirischen Bildungsforschung (Prof. Ünlü),TUM/Schools/Social Sciences and Technology/Departments/Educational Sciences/Methoden der Empirischen Bildungsforschung (Prof. Ünlü)
44925,TUBVMAF,Lehrstuhl für Hangbewegungen (Prof. Krautblatter),TUM/Schools/Engineering and Design/Departments/Civil and Environmental Engineering/Hangbewegungen (Prof. Krautblatter)
44926,TUEIEVW,Professur für Elektromagnetische Verträglichkeit und Wellenausbreitung (N.N.),TUM/Fakultäten/Ehemalige Fakultät für Elektrotechnik und Informationstechnik/Lehrstühle und Professuren/Elektromagnetische Verträglichkeit und Wellenausbreitung (N.N.)
44927,TUSPL13,Professur für Sport- und Gesundheitsdidaktik (Prof. Mess),TUM/Schools/Medicine and Health/Departments/Health and Sport Sciences/Sport- und Gesundheitsdidaktik (Prof. Mess)
44928,TUMAF23,Professur für Theorie komplexer Quantensysteme (Prof. König),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Theorie komplexer Quantensysteme (Prof. König)"
44945,TUPRVP7,"Vizepräsident Controlling & Resilienzmanagement, Stellvertretender Kanzler","TUM/Hochschulpräsidium/Vizepräsidenten und Kanzler/Vizepräsident Controlling & Resilienzmanagement, Stellvertretender Kanzler"
44965,TUMEDF1,Lehrstuhl für Diabetesforschung/Beta-Zell-Biologie (HMGU) (Prof. Lickert),TUM/Schools/Medicine and Health/Departments/Clinical Medicine/Klinik und Poliklinik für Kinder- und Jugendmedizin (Prof. Hauer)/Diabetesforschung/Beta-Zell-Biologie (HMGU) (Prof. Lickert)
44966,TUMEDF2,Lehrstuhl für Stoffwechselerkrankungen (HMGU) (Prof. Tschöp),TUM/Schools/Medicine and Health/Departments/Clinical Medicine/Weitere Lehrstühle und Professuren Clinical Medicine/Stoffwechselerkrankungen (HMGU) (Prof. Tschöp)
45007,TUPRVP5,Geschäftsführende Vizepräsidentin Talent Management & Diversity,TUM/Hochschulpräsidium/Vizepräsidenten und Kanzler/Geschäftsführende Vizepräsidentin Talent Management & Diversity
45008,TUZVHSL,TUM CST - Kommunikation,TUM/Zentrale Serviceeinrichtungen/TUM Center for Study and Teaching/TUM CST - Kommunikation
45009,TUZVHRE,TUM CST - Recht,TUM/Zentrale Serviceeinrichtungen/TUM Center for Study and Teaching/TUM CST - Recht
45010,TUZVHJA,TUM Junge Akademie,TUM/Zentrale Serviceeinrichtungen/TUM Center for Study and Teaching/TUM Junge Akademie
45011,TUMEZT0,Interdisziplinäres Zentrum für zelluläre Therapien (TUMCells),TUM/Schools/Medicine and Health/Schoolzentrale Core Facilities/Interdisziplinäres Zentrum für zelluläre Therapien (TUMCells)
45028,TUPHECP,Lehrstuhl für Experimental Physics with Cosmic Particles (Prof. Resconi),TUM/Schools/Natural Sciences/Departments/Physics/Experimental Physics with Cosmic Particles (Prof. Resconi)
45048,TUMAF24,Professur für Mathematische Kontinuumsmechanik (Prof. Cicalese),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Mathematische Kontinuumsmechanik (Prof. Cicalese)"
45049,TUMAF25,Professur für Stochastische Prozesse (Prof. Berger Steiger),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Stochastische Prozesse (Prof. Berger Steiger)"
45050,TUARL29,Lehrstuhl für Architekturgeschichte und kuratorische Praxis (Prof. Lepik),TUM/Schools/Engineering and Design/Departments/Architecture/Architekturgeschichte und kuratorische Praxis (Prof. Lepik)
45070,TUZV848,Werkfeuerwehr Weihenstephan (ZA 4),TUM/Zentrale Verwaltung/Immobilien (ZA 4)/Standort Weihenstephan (ZA 4)/Werkfeuerwehr Weihenstephan (ZA 4)
45071,TUMWPTM,Lehrstuhl für Produktion und Technik in der Medienbranche (Prof. Spanner-Ulmer),TUM/Schools/Engineering and Design/Departments/Mechanical Engineering/Produktion und Technik in der Medienbranche (Prof. Spanner-Ulmer)
45090,TUMEKI4,Lehrstuhl für Sozialpädiatrie (Prof. Mall),TUM/Schools/Medicine and Health/Departments/Clinical Medicine/Klinik und Poliklinik für Kinder- und Jugendmedizin (Prof. Hauer)/Sozialpädiatrie (Prof. Mall)
45110,TUMAM16,Lehrstuhl für Numerische Methoden der Plasmaphysik (Prof. Sonnendrücker),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Numerische Methoden der Plasmaphysik (Prof. Sonnendrücker)"
45130,TUEILFE,Lehrstühle und Professuren,TUM/Fakultäten/Ehemalige Fakultät für Elektrotechnik und Informationstechnik/Lehrstühle und Professuren
45150,TUWIB25,Professur für Entrepreneurial Behavior (Prof. Breugst),TUM/Schools/Management/Departments/Innovation and Entrepreneurship/Entrepreneurial Behavior (Prof. Breugst)
45151,TUINI22,Informatik 4 - Lehrstuhl für Software & Systems Engineering (Prof. Pretschner),"TUM/Schools/Computation, Information and Technology/Departments/Computer Science/Software & Systems Engineering (Prof. Pretschner)"
45170,TUWIB26,Professur für Innovation and Organization Design (Prof. Alexy),TUM/Schools/Management/Departments/Innovation and Entrepreneurship/Innovation and Organization Design (Prof. Alexy)
45190,TUWIB27,Professur für International Entrepreneurship (Prof. Milanov),TUM/Schools/Management/Departments/Innovation and Entrepreneurship/International Entrepreneurship (Prof. Milanov)
45230,TUPHE28,Lehrstuhl für Plasmarand- und Divertorphysik (Prof. Stroth),TUM/Schools/Natural Sciences/Departments/Physics/Plasmarand- und Divertorphysik (Prof. Stroth)
45250,TUPEINT,TUM International GmbH,TUM/Partnerschaftliche Einrichtungen/TUM International GmbH
45270,TUWZH5B,Professur für Populationsgenetik (Prof. Tellier),TUM/Schools/Life Sciences/Departments/Life Science Systems/Populationsgenetik (Prof. Tellier)
45290,TUEIAIP,Professur für Audio-Signalverarbeitung (Prof. Seeber),"TUM/Schools/Computation, Information and Technology/Departments/Computer Engineering/Audio-Signalverarbeitung (Prof. Seeber)"
