lat,lon,r_alias,r_id,r_level,r_number,b_alias,b_area,b_id,b_name,default_map_scale,default_map_id,default_map_name,default_map_width,default_map_height,maps_json,metas_json
48.15031558153962,11.56827280145864,EINGANGSHALLE,N0110@0101,0,N0110,U-Trakt,München - Stammgelände Nord,0101,N1,4000,rf12,Stammgelände Basiskarte,501,484,"[[""500"", ""rf66"", ""U-Trakt EG"", 525, 443], [""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]",[]
48.150539633322744,11.567924811833048,FLUR,N0110a@0101,0,N0110a,U-Trakt,München - Stammgelände Nord,0101,N1,4000,rf12,Stammgelände Basiskarte,501,484,"[[""500"", ""rf66"", ""U-Trakt EG"", 525, 443], [""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]",[]
48.1504276878567,11.567767490376845,Seminarraum,N0111@0101,0,N0111,U-Trakt,München - Stammgelände Nord,0101,N1,4000,rf12,Stammgelände Basiskarte,501,484,"[[""500"", ""rf66"", ""U-Trakt EG"", 525, 443], [""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]",[]
48.15049406551471,11.56780895371263,ARBEITSR./OHN.BESPRECHGRP,N0113@0101,0,N0113,U-Trakt,München - Stammgelände Nord,0101,N1,4000,rf12,Stammgelände Basiskarte,501,484,"[[""500"", ""rf66"", ""U-Trakt EG"", 525, 443], [""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]",[]
48.150535551557034,11.567834867681732,LAGER FÜR BATUM,N0115@0101,0,N0115,U-Trakt,München - Stammgelände Nord,0101,N1,4000,rf12,Stammgelände Basiskarte,501,484,"[[""500"", ""rf66"", ""U-Trakt EG"", 525, 443], [""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]",[]
48.15058948338978,11.567868556442964,Seminarraum,N0116@0101,0,N0116,U-Trakt,München - Stammgelände Nord,0101,N1,4000,rf12,Stammgelände Basiskarte,501,484,"[[""500"", ""rf66"", ""U-Trakt EG"", 525, 443], [""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]",[]
48.15065171239698,11.567907428903892,BÜRO,N0118@0101,0,N0118,U-Trakt,München - Stammgelände Nord,0101,N1,4000,rf12,Stammgelände Basiskarte,501,484,"[[""500"", ""rf66"", ""U-Trakt EG"", 525, 443], [""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]",[]
48.1507014955976,11.567938526673553,Seminarraum,N0120@0101,0,N0120,U-Trakt,München - Stammgelände Nord,0101,N1,4000,rf12,Stammgelände Basiskarte,501,484,"[[""500"", ""rf66"", ""U-Trakt EG"", 525, 443], [""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]",[]
48.150742981605596,11.567964440857253,BÜRO,N0122@0101,0,N0122,U-Trakt,München - Stammgelände Nord,0101,N1,4000,rf12,Stammgelände Basiskarte,501,484,"[[""500"", ""rf66"", ""U-Trakt EG"", 525, 443], [""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]",[]
48.15070972588162,11.568031062275839,WINDFANG,N0123@0101,0,N0123,U-Trakt,München - Stammgelände Nord,0101,N1,4000,rf12,Stammgelände Basiskarte,501,484,"[[""500"", ""rf66"", ""U-Trakt EG"", 525, 443], [""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]",[]
48.15070588373192,11.56807964156226,ARCHIV/KOPIERRAUM,N0125@0101,0,N0125,U-Trakt,München - Stammgelände Nord,0101,N1,4000,rf12,Stammgelände Basiskarte,501,484,"[[""500"", ""rf66"", ""U-Trakt EG"", 525, 443], [""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]",[]
48.15069374525528,11.568123038560817,BESPRECHUNGSRAUM,N0126A@0101,0,N0126A,U-Trakt,München - Stammgelände Nord,0101,N1,4000,rf12,Stammgelände Basiskarte,501,484,"[[""500"", ""rf66"", ""U-Trakt EG"", 525, 443], [""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]",[]
48.15067987192052,11.568172635066382,BÜRO,N0126B@0101,0,N0126B,U-Trakt,München - Stammgelände Nord,0101,N1,4000,rf12,Stammgelände Basiskarte,501,484,"[[""500"", ""rf66"", ""U-Trakt EG"", 525, 443], [""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]",[]
48.15066773251068,11.568216031974993,BÜRO,N0126C@0101,0,N0126C,U-Trakt,München - Stammgelände Nord,0101,N1,4000,rf12,Stammgelände Basiskarte,501,484,"[[""500"", ""rf66"", ""U-Trakt EG"", 525, 443], [""4000"", ""rf12"", ""Stammgel\u00e4nde Basiskarte"", 501, 484], [""5000"", ""rf10"", ""Lageplan TUM"", 657, 951], [""200000"", ""rf54"", ""M\u00fcnchen"", 640, 603], [""400000"", ""rf156"", ""M\u00fcnchen und Umgebung"", 420, 515]]",[]
